Country,IDH,Population,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region
Hungary,"0,851​",9.684.000,133,94,908669,13,124074,26,247642,Low Confidence,348,Eastern Europe
Iceland,"0,959​",382.000,115,76,25827,13,4343,26,8668,Low Confidence,352,Northern Europe
India,"0,644​",1.417.173.000,94,50,68760163,16,21371087,28,37778821,Very Low Confidence,356,Southern Asia
Indonesia,"0,713​",275.501.000,121,77,20938252,16,4232646,28,7482277,Very Low Confidence,360,South-eastern Asia
Iran (Islamic Republic of),"0,780​",88.551.000,115,71,5884842,16,1296792,28,2292410,Very Low Confidence,364,Southern Asia
Iraq,"0,673​",44.496.000,164,120,4734434,16,614814,28,1086840,Very Low Confidence,368,Western Asia
Ireland,"0,950​",5.087.000,124,55,267073,13,62551,56,274135,Low Confidence,372,Northern Europe
Israel,"0,915​",9.551.000,178,100,848395,51,437997,27,233752,Medium Confidence,376,Western Asia
Italy,"0,906​",58.857.000,97,67,4059806,4,219552,26,1548291,High Confidence,380,Southern Europe
Jamaica,"0,706​",2.827.000,116,72,213552,16,46112,28,81515,Very Low Confidence,388,Latin America and the Caribbean
Japan,"0,92",125.125.000,88,64,8159891,9,1095308,15,1870735,Medium Confidence,392,Eastern Asia
Jordan,"0,736​",11.286.000,137,93,939897,16,157993,28,279293,Very Low Confidence,400,Western Asia
Kazakhstan,"0,802​",19.622.000,120,76,1404584,16,290148,28,512910,Very Low Confidence,398,Central Asia
Kenya,"0,601​",54.027.000,141,99,5217367,11,576411,31,1637020,Medium Confidence,404,Sub-Saharan Africa
Kiribati,"0,628​",131.000,135,91,10704,16,1839,28,3251,Very Low Confidence,296,Micronesia
Kuwait,"0,847",4.269.000,134,95,397706,13,53898,26,107577,Low Confidence,414,Western Asia
Kyrgyzstan,"0,701​",6.803.000,135,91,583951,16,100346,28,177387,Very Low Confidence,417,Central Asia
Lao People's Dem. Rep.,"0,62",7.529.000,130,86,618994,16,112133,28,198223,Very Low Confidence,418,South-eastern Asia
Latvia,"0,879​",1.883.000,115,76,145263,13,24427,26,48755,Low Confidence,428,Northern Europe
Lebanon,"0,723​",5.490.000,149,105,717491,16,107225,28,189547,Very Low Confidence,422,Western Asia
Lesotho,"0,521",2.306.000,144,100,211661,16,33240,28,58760,Very Low Confidence,426,Sub-Saharan Africa
Liberia,"0,487",5.303.000,147,103,507043,16,77222,28,136510,Very Low Confidence,430,Sub-Saharan Africa
Libya,"0,746",6.812.000,120,76,513146,16,106002,28,187385,Very Low Confidence,434,Northern Africa
Liechtenstein,"0,942​",39.000,111,72,2724,13,487,26,972,Low Confidence,438,Western Europe
Lithuania,"0,879​",2.833.000,115,76,210241,13,35354,26,70564,Low Confidence,440,Northern Europe
Luxembourg,"0,927​",651.000,117,89,54951,7,4433,21,12868,Medium Confidence,442,Western Europe
Madagascar,"0,487​",29.612.000,147,103,2769594,16,421806,28,745649,Very Low Confidence,450,Sub-Saharan Africa
Malawi,"0,508",20.405.000,147,103,1913062,16,291357,28,515048,Very Low Confidence,454,Sub-Saharan Africa
Malaysia,"0,807​",33.938.000,260,91,2921577,79,2518199,90,2861537,Medium Confidence,458,South-eastern Asia
Maldives,"0,762​",524.000,115,71,37688,16,8305,28,14681,Very Low Confidence,462,Southern Asia
Mali,"0,410​",22.594.000,147,103,2018765,16,307456,28,543506,Very Low Confidence,466,Sub-Saharan Africa
Malta,"0,915​",523.000,168,129,56812,13,5642,26,11261,Low Confidence,470,Southern Europe
Marshall Islands,"0,731",42.000,120,76,4452,16,920,28,1626,Very Low Confidence,584,Micronesia
Mauritania,"0,540​",4.736.000,144,100,450720,16,70783,28,125127,Very Low Confidence,478,Sub-Saharan Africa
Mauritius,"0,796",1.263.000,132,93,118626,13,16267,26,32467,Low Confidence,480,Sub-Saharan Africa
Mexico,"0,781​",127.504.000,138,94,11979364,16,1995310,28,3527217,Very Low Confidence,484,Latin America and the Caribbean
Mongolia,"0,741",3.398.000,122,78,250173,16,50443,28,89171,Very Low Confidence,496,Eastern Asia
Montenegro,"0,844​",616.000,127,83,51988,16,9822,28,17363,Very Low Confidence,499,Southern Europe
Morocco,"0,698​",37.458.000,135,91,3319524,16,570427,28,1008375,Very Low Confidence,504,Northern Africa
Mozambique,"0,461​",32.970.000,147,103,3118416,16,474931,28,839561,Very Low Confidence,508,Sub-Saharan Africa
Myanmar,"0,608​",54.179.000,130,86,4666125,16,845282,28,1494251,Very Low Confidence,104,South-eastern Asia
Namibia,"0,61",2.567.000,136,92,229344,16,39015,28,68968,Very Low Confidence,516,Sub-Saharan Africa
Nauru,"0,696",13.000,118,79,850,13,138,26,276,Low Confidence,520,Micronesia
Nepal,"0,601​",30.548.000,123,79,2249412,16,447447,28,790975,Very Low Confidence,524,Southern Asia
Netherlands,"0,946​",17.703.000,87,50,854855,11,188068,26,437180,Medium Confidence,528,Western Europe
New Zealand,"0,939​",5.124.000,90,61,291769,3,14923,26,122306,High Confidence,554,Australia and New Zealand
Nicaragua,"0,669​",6.948.000,124,80,524188,16,102373,28,180970,Very Low Confidence,558,Latin America and the Caribbean
Niger,"0,394​",26.208.000,147,103,2393877,16,364585,28,644496,Very Low Confidence,562,Sub-Saharan Africa
Nigeria,"0,548​",218.541.000,233,189,37941470,16,3143117,28,5556257,Very Low Confidence,566,Sub-Saharan Africa
North Macedonia,"0,765​",2.058.000,127,83,172480,16,32586,28,57605,Very Low Confidence,807,Southern Europe
Norway,"0,966​",5.457.000,98,79,423857,14,74088,5,26685,Medium Confidence,578,Northern Europe
Oman,"0,819​",4.576.000,134,95,470297,13,63736,26,127213,Low Confidence,512,Western Asia
Pakistan,"0,540​",235.825.000,118,74,15947645,16,3387131,28,5987614,Very Low Confidence,586,Southern Asia
Palau,"0,797​",18.000,118,79,1416,13,231,26,460,Low Confidence,585,Micronesia
Panama,"0,820​",4.409.000,113,74,313897,13,54402,26,108582,Low Confidence,591,Latin America and the Caribbean
Papua New Guinea,"0,568",10.143.000,135,91,798767,16,137260,28,242642,Very Low Confidence,598,Melanesia
Paraguay,"0,731​",6.781.000,116,72,510256,16,110179,28,194770,Very Low Confidence,600,Latin America and the Caribbean
Peru,"0,762​",34.050.000,116,72,2354806,16,508472,28,898853,Very Low Confidence,604,Latin America and the Caribbean
Philippines,"0,710​",115.559.000,130,86,9334477,16,1690968,28,2989216,Very Low Confidence,608,South-eastern Asia
Poland,"0,881​",37.562.000,95,56,2119455,13,485392,26,968807,Low Confidence,616,Eastern Europe
Portugal,"0,874​",10.379.000,123,84,861786,13,131011,26,261488,Low Confidence,620,Southern Europe
Qatar,"0,875​",2.695.000,134,95,267724,13,36283,26,72418,Low Confidence,634,Western Asia
Romania,"0,827​",18.957.000,109,70,1352979,13,248086,26,495161,Low Confidence,642,Eastern Europe
Russian Federation,"0,821​",143.556.000,75,33,4868564,14,2001062,28,4033088,Medium Confidence,643,Eastern Europe
Rwanda,"0,548​",13.777.000,208,164,2075405,16,197489,28,349112,Very Low Confidence,646,Sub-Saharan Africa
Saint Kitts and Nevis,"0,838​",48.000,113,74,3903,13,676,26,1350,Low Confidence,659,Latin America and the Caribbean
Saint Lucia,"0,725​",180.000,116,72,13241,16,2859,28,5054,Very Low Confidence,662,Latin America and the Caribbean
Saint Vincent & Grenadines,"0,772",104.000,116,72,8011,16,1730,28,3058,Very Low Confidence,670,Latin America and the Caribbean
Samoa,"0,702​",222.000,120,76,14923,16,3083,28,5449,Very Low Confidence,882,Polynesia
San Marino,"0,867​",34.000,123,84,2857,13,434,26,867,Low Confidence,674,Southern Europe
Sao Tome and Principe,"0,613​",227.000,144,100,21422,16,3364,28,5947,Very Low Confidence,678,Sub-Saharan Africa
Saudi Arabia,"0,875​",36.409.000,151,105,3594080,20,673502,26,876260,High Confidence,682,Western Asia
Senegal,"0,517​",17.316.000,144,100,1622980,16,254879,28,450564,Very Low Confidence,686,Sub-Saharan Africa
Serbia,"0,805​",6.760.000,105,83,726196,16,137199,6,52633,Very Low Confidence,688,Southern Europe
Seychelles,"0,802",100.000,132,93,9128,13,1252,26,2498,Low Confidence,690,Sub-Saharan Africa
Sierra Leone,"0,458",8.606.000,147,103,802371,16,122200,28,216020,Very Low Confidence,694,Sub-Saharan Africa
Singapore,"0,949​",5.637.000,119,80,465355,13,74361,26,148418,Low Confidence,702,South-eastern Asia
Slovakia,"0,855​",5.432.000,109,70,381273,13,69911,26,139538,Low Confidence,703,Eastern Europe
Slovenia,"0,926",2.109.000,61,34,71107,7,13910,20,41741,Medium Confidence,705,Southern Europe
Solomon Islands,"0,562​",724.000,135,91,60963,16,10476,28,18519,Very Low Confidence,90,Melanesia
Somalia,"0,380​",17.598.000,147,103,1585898,16,241530,28,426966,Very Low Confidence,706,Sub-Saharan Africa
South Africa,"0,717​",59.894.000,84,40,2329228,16,915865,28,1619024,Very Low Confidence,710,Sub-Saharan Africa
South Sudan,"0,381​",10.913.000,147,103,1136015,16,173014,28,305846,Very Low Confidence,728,Sub-Saharan Africa
Spain,"0,911​",47.615.000,116,77,3613954,13,598760,26,1195080,Low Confidence,724,Southern Europe
Sri Lanka,"0,780​",22.181.000,120,76,1617738,16,333508,28,589559,Very Low Confidence,144,Southern Asia
State of Palestine,"0,716",5.044.000,145,101,501602,16,77910,28,137726,Very Low Confidence,275,Western Asia
Sudan,"0,516​",46.874.000,141,97,4162396,16,669608,28,1183703,Very Low Confidence,729,Northern Africa
Suriname,"0,690​",618.000,116,72,42112,16,9093,28,16075,Very Low Confidence,740,Latin America and the Caribbean
Sweden,"0,952",10.487.000,112,81,812948,10,100364,21,205746,High Confidence,752,Northern Europe
Switzerland,"0,967​",8.770.000,125,72,615790,13,110067,40,343656,Low Confidence,756,Western Europe
Syrian Arab Republic,"0,557",22.125.000,148,104,1771842,16,266980,28,471955,Very Low Confidence,760,Western Asia
Tajikistan,"0,679",9.953.000,141,97,906209,16,145783,28,257708,Very Low Confidence,762,Central Asia
Thailand,"0,803​",71.697.000,123,79,5478532,16,1088960,28,1925014,Very Low Confidence,764,South-eastern Asia
Timor-Leste,"0,566",1.341.000,130,86,111643,16,20224,28,35752,Very Low Confidence,626,South-eastern Asia
Togo,"0,547​",8.849.000,147,103,830017,16,126411,28,223463,Very Low Confidence,768,Sub-Saharan Africa
Tonga,"0,739​",107.000,120,76,7912,16,1634,28,2889,Very Low Confidence,776,Polynesia
Trinidad and Tobago,"0,814​",1.531.000,113,74,103119,13,17872,26,35671,Low Confidence,780,Latin America and the Caribbean
Tunisia,"0,732​",12.356.000,135,91,1064407,16,182908,28,323336,Very Low Confidence,788,Northern Africa
Turkey,"0,855​",85.341.000,137,93,7762575,16,1304858,28,2306668,Very Low Confidence,792,Western Asia
Turkmenistan,"0,744​",6.431.000,120,76,449895,16,92936,28,164288,Very Low Confidence,795,Central Asia
Tuvalu,"0,653",11.000,120,76,878,16,181,28,321,Very Low Confidence,798,Polynesia
Uganda,"0,550​",47.250.000,147,103,4546237,16,692387,28,1223969,Very Low Confidence,800,Sub-Saharan Africa
Ukraine,"0,734​",38.000.000,120,76,3344904,16,688070,28,1216338,Very Low Confidence,804,Eastern Europe
United Arab Emirates,"0,937​",9.441.000,134,95,923625,13,125173,26,249836,Low Confidence,784,Western Asia
United Kingdom,"0,940​",66.971.000,98,77,5199825,4,283627,17,1114248,High Confidence,826,Northern Europe
United Rep. of Tanzania,"0,532",65.498.000,163,119,6907649,16,907219,28,1603740,Very Low Confidence,834,Sub-Saharan Africa
United States of America,"0,927​",333.288.000,139,59,19359951,16,5151313,64,20934827,High Confidence,840,Northern America
Uruguay,"0,830​",3.423.000,113,74,255892,13,44349,26,88517,Low Confidence,858,Latin America and the Caribbean
Uzbekistan,"0,727​",35.648.000,135,91,3001868,16,515841,28,911881,Very Low Confidence,860,Central Asia
Vanuatu,"0,614​",327.000,135,91,27296,16,4691,28,8292,Very Low Confidence,548,Melanesia
Venezuela (Boliv. Rep. of),"0,699​",28.302.000,116,72,2065461,16,445994,28,788407,Very Low Confidence,862,Latin America and the Caribbean
Vietnam,"0,726​",98.187.000,120,76,7346717,16,1508689,28,2666991,Very Low Confidence,704,South-eastern Asia
Yemen,"0,424​",33.697.000,148,104,3026946,16,456099,28,806270,Very Low Confidence,887,Western Asia
Zambia,"0,569​",20.018.000,122,78,1391729,16,279350,28,493822,Very Low Confidence,894,Sub-Saharan Africa
Zimbabwe,"0,550​",16.321.000,144,100,1458564,16,229059,28,404920,Very Low Confidence,716,Sub-Saharan Africa
